m = 2 ; m` = 109 ; p = 19 ; q = 31 ; n = 589 ; eiler = 540 ; eexp = 7 ; dexp = 463
m = 175 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 176 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 177 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 178 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 179 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 180 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 181 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 182 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 183 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 184 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 185 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 186 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 187 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 188 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 189 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 190 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 191 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 192 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 193 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 194 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 195 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 196 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 197 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 198 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 199 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 200 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 201 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 202 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 203 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 204 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 205 ; m` = 7 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 206 ; m` = 8 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 207 ; m` = 9 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 208 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 209 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 210 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 211 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 212 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 213 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 214 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 215 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 216 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 217 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 218 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 219 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 220 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 221 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 222 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 223 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 224 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 225 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 226 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 227 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 228 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 229 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 230 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 231 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 232 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 233 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 234 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 235 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 236 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 237 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 238 ; m` = 7 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 239 ; m` = 8 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 240 ; m` = 9 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 241 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 242 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 243 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 244 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 245 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 246 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 247 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 248 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 249 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 250 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 251 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 252 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 253 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 254 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 255 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 256 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 257 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 258 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 259 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 260 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 261 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 262 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 263 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 264 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 265 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 266 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 267 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 268 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 269 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 270 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 271 ; m` = 7 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 272 ; m` = 8 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 273 ; m` = 9 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 274 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 275 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 276 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 277 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 278 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 279 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 280 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 281 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 282 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 283 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 284 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 285 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 286 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 287 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 288 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 289 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 290 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 291 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 292 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 293 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 294 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 295 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 296 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 297 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 298 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 299 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 300 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 301 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 302 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 303 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 304 ; m` = 7 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 305 ; m` = 8 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 306 ; m` = 9 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 307 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 308 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 309 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 310 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 311 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 312 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 313 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 314 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 315 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 316 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 317 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 318 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 319 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 320 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 321 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 322 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 323 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 324 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 325 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 326 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 327 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 328 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 329 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 330 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 331 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 332 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 333 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 334 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 335 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 336 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 337 ; m` = 7 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 338 ; m` = 8 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 339 ; m` = 9 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 340 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 341 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 342 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 343 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 344 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 345 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 346 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 347 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 348 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 349 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 350 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 351 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 352 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 353 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 354 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 355 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 356 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 357 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 358 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 359 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 360 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 361 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 362 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 363 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 364 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 365 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 366 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 367 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 368 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 369 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 370 ; m` = 7 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 371 ; m` = 8 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 372 ; m` = 9 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 373 ; m` = 10 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 374 ; m` = 11 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 375 ; m` = 12 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 376 ; m` = 13 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 377 ; m` = 14 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 378 ; m` = 15 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 379 ; m` = 16 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 380 ; m` = 17 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 381 ; m` = 18 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 382 ; m` = 19 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 383 ; m` = 20 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 384 ; m` = 21 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 385 ; m` = 22 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 386 ; m` = 23 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 387 ; m` = 24 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 388 ; m` = 25 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 389 ; m` = 26 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 390 ; m` = 27 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 391 ; m` = 28 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 392 ; m` = 29 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 393 ; m` = 30 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 394 ; m` = 31 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 395 ; m` = 32 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 396 ; m` = 0 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 397 ; m` = 1 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 398 ; m` = 2 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 399 ; m` = 3 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 400 ; m` = 4 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 401 ; m` = 5 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
m = 402 ; m` = 6 ; p = 3 ; q = 11 ; n = 33 ; eiler = 20 ; eexp = 3 ; dexp = 7
